ID,lat,lon,Address
MLM00061233,15.167,-7.283,"Uíge, Angola"
SF000225210,33.68,19.32,"أبو حمد, نهر النيل, السودان"
AGM00060444,36.067,4.767,"Omorate, South Omo, የደቡብ ብሔር ብሔረሰቦችና ሕዝቦች ክልል / Southern Nations, Nationalities, and Peoples' Region, ኢትዮጵያ"
SF003044460,28.95,31.7,"بنى سويف, مصر"
SF006333930,24.07,28.7,"البطنان, ليبيا"
ZI000067867,19.45,29.85,"الواحات, ليبيا"
SF001460170,31.3,25.48,"الوادي الجديد, مصر"
ML000061223,16.717,-3.0,"RP201, Bosombo, Plateaux, Mai-Ndombe, République démocratique du Congo"
SF004441760,26.95,30.58,"مطروح, مصر"
MAM00067037,16.742,44.481,"Јарице, Opština Ribnik, Република Српска / Republika Srpska, Bosna i Hercegovina / Босна и Херцеговина"
WA008704030,21.22,15.73,"Wadi Fira وادي فيرا, Tchad تشاد"
MAM00067023,14.279,50.175,"00722, Svrkyně, okres Praha-západ, Střední Čechy, 273 27, Česko"
SF000782270,32.783,26.633,"قنا, مصر"
GHM00065416,9.033,-2.483,"Bole, Bole District, Savannah Region, Ghana"
SF000302650,33.92,23.15,"البحر الأحمر, مصر"
SF002381320,29.72,29.6,"الجيزة, مصر"
SF001727240,30.55,25.42,"مدينه الخارجه, الوادي الجديد, 72511, مصر"
SF000795240,32.73,27.3,"البحر الأحمر, مصر"
ET000063473,9.333,42.717,"U Sole Marinu, Sentier des Douaniers, Patrimonio, Calvi, Haute-Corse, Corse, France métropolitaine, 20253, France"
SF002322110,29.52,26.63,"الوادي الجديد, مصر"
TOM00065387,6.166,1.255,"Aéroport International Gnassingbé Eyadéma de Lomé Tokoin, Rue Kpimé, Tokoin-Aéroport, 2e Arrondissement, Lomé, Région Maritime, Togo"
BC008382520,21.7,21.65,"الكفرة, ليبيا"
EGE00147732,30.6,32.2297,"شارع سعد زغلول, منطقة الموظفين, الزهور, سيريا, بورسعيد, 42512, مصر"
EGE00147726,31.28,32.2297,"شارع سعد زغلول, منطقة الموظفين, الزهور, سيريا, بورسعيد, 42512, مصر"
SF001793530,30.88,28.68,"Nazlat Awlād ash Shaykh, المنيا, مصر"
SF001991070,30.3,24.58,"الوادي الجديد, مصر"
SF001186400,31.67,24.37,"الوادي الجديد, مصر"
SF001543540,31.4,29.7,"الجيزة, مصر"
SF000700930,32.55,22.55,"أسوان, مصر"
CVM00008589,14.917,-23.6,"Hardap Region, Namibia"
SF002411030,29.72,31.07,"أول العامريه, الإسكندرية, 21644, مصر"
SF007225710,23.03,29.83,"الواحات, ليبيا"
SF003728520,27.72,30.98,"مطروح, مصر"
SF000757840,32.57,25.45,"الأقصر, مصر"
SF002635670,29.45,27.3,"الوادي الجديد, مصر"
MR000061421,20.517,-13.067,"Moxico, Angola"
SF004412700,27.0,29.15,"مطروح, مصر"
SF001428530,31.22,23.98,"الوادي الجديد, مصر"
SF006344170,24.45,29.23,"البطنان, ليبيا"
WA007877120,22.37,18.9,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
IV000005555,7.68,-5.03,"Avenue de la Fraternité, Cité résidentielle Sicogi, Ngattakro, Bouaké, Gbêkê, Vallée du Bandama, Côte d’Ivoire"
SF002472420,29.03,19.15,"الولاية الشمالية, السودان"
SF002564530,29.067,23.75,"الوادي الجديد, مصر"
SF000218230,33.72,18.97,"أبو حمد, نهر النيل, السودان"
SF004750560,26.43,27.53,"الوادي الجديد, مصر"
SF002308100,30.0,25.95,"الوادي الجديد, مصر"
SF000960940,32.07,24.57,"الوادي الجديد, مصر"
SF004030540,27.4,28.03,"مطروح, مصر"
SF003988760,27.1,25.97,"الوادي الجديد, مصر"
GB000004504,1.0,9.6,"Bassar, Région de la Kara, Togo"
AGM00060518,35.3,-1.35,"Siana ward, Narok West, Narok, Rift Valley, Kenya"
LYW00033123,32.9,13.2833,"الجبلين, ولاية النيل الأبيض, السودان"
SF001700990,30.65,24.08,"الوادي الجديد, مصر"
CD000004700,12.13,15.03,"N’Guigmi, Diffa, Niger"
MAM00067157,22.805,47.821,"Satu Mare, România"
SF003686340,27.57,28.87,"مطروح, مصر"
SF002408830,29.72,31.0,"الإسكندرية, 23719, مصر"
LT002638590,29.3,27.5,"الوادي الجديد, مصر"
GB000004510,2.08,11.48,"RNIE 7, Banikoara, Alibori, Bénin"
SF000143930,34.05,23.23,"البحر الأحمر, مصر"
SF003303630,28.05,27.75,"الجيزة, مصر"
SF005167080,25.8,29.9,"مطروح, مصر"
SF003306990,28.15,27.9,"الجيزة, مصر"
SF004040070,27.12,28.52,"مطروح, مصر"
GBM00064551,-0.704,10.246,"Gwakudo, West Mamprusi Municipal District, North East Region, Ghana"
SF002328950,29.92,27.0,"غرد أبو محرك, الوادي الجديد, مصر"
SF006802250,23.78,30.65,"البطنان, ليبيا"
SGM00061600,16.051,-16.463,"Cunene, Angola"
CD000064751,13.217,18.317,"Bilma, Agadez, Niger"
WA006511920,23.7,16.12,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
LYE00147740,31.87,10.98,"Abu Jubaiyah, ولاية جنوب كردفان, السودان"
LYE00147741,32.88,12.08,"Renk, Upper Nile, South Sudan جنوب السودان"
SF006340840,24.38,29.03,"البطنان, ليبيا"
SF002966220,28.87,27.85,"المنيا, مصر"
GBM00064550,-1.845,11.057,"Sabou, Biéha, Sissili, Centre-Ouest, Burkina Faso"
MP000061995,20.3,57.5,"محافظة الوسطى, عمان"
SF007664800,23.02,30.3,"الواحات, ليبيا"
SF003968130,27.07,25.0,"الوادي الجديد, مصر"
SF001027620,32.2,27.95,"المنيا, مصر"
WA010574650,19.25,18.77,"Tibesti تيبستي, Tchad تشاد"
CGM00064210,-4.386,15.445,"Diolli, Cercle de Youwarou, Mopti, Mali"
MI000067489,11.45,34.017,"الباو, ولاية النيل الأزرق, السودان"
CGM00064204,-5.85,13.1,"Touna, Cercle de Bla, Ségou, Mali"
CD000004701,14.12,15.32,"Kanem كانم, Tchad تشاد"
SL000061856,8.617,-13.2,"Airport Perimeter Road, Masoyila, Mahera, Port Loko District, North Western Province, Sierra Leone"
SF004357210,26.52,26.42,"الوادي الجديد, مصر"
WA006133750,24.25,18.72,"Mellit, ولاية شمال دارفور, السودان"
AGM00060531,35.017,-1.45,"Transmara West, Narok, Rift Valley, Kenya"
SF000468980,33.47,21.5,"حلايب, البحر الأحمر, السودان"
SF001203510,31.85,25.18,"الوادي الجديد, مصر"
SF004756110,26.18,27.87,"مطروح, مصر"
WA007897980,22.3,19.95,"Ennedi Ouest إنيدي الغربية, Tchad تشاد"
SF000750900,33.0,25.05,"أسوان, مصر"
SF003305730,28.05,27.85,"الجيزة, مصر"
CF000004450,-4.25,15.25,"Oualado, Cercle de Youwarou, Mopti, Mali"
SF002413020,29.53,31.18,"الإسكندرية, مصر"
SF002957200,29.0,27.4,"الوادي الجديد, مصر"
WA006546460,23.77,17.87,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
WA003490820,27.87,19.05,"الولاية الشمالية, السودان"
SF002848320,28.9,21.98,"الولاية الشمالية, السودان"
WA011991430,17.88,15.08,"Barh el Gazel بحر الغزال, Tchad تشاد"
SF003930830,27.38,23.05,"الوادي الجديد, مصر"
SF001193150,31.73,24.68,"الوادي الجديد, مصر"
SF001236540,31.9,26.867,"مركز طهطا, سوهاج, 82621, مصر"
SF000567090,33.32,26.38,"قنا, مصر"
SF000284150,33.92,22.23,"البحر الأحمر, مصر"
BC007137570,23.12,25.43,"الكفرة, ليبيا"
SF001827300,30.67,30.43,"المنوفية, مصر"
SF000762150,32.58,25.63,"المريس, الأقصر, مصر"
AG000060680,22.8,5.4331,"Village Bagou, Mbomou, Ködörösêse tî Bêafrîka / République centrafricaine"
SF006794560,23.62,30.27,"البطنان, ليبيا"
SF001271970,31.78,28.62,"بنى سويف, مصر"
WA008278480,21.63,16.48,"Ennedi Ouest إنيدي الغربية, Tchad تشاد"
AGE00135039,35.7297,0.65,"Baringo North, Baringo, Rift Valley, Kenya"
TOM00065351,10.867,0.25,"Okano, Woleu-Ntem, Gabon"
AGM00060690,19.567,5.767,"Boambali, Kémo, Ködörösêse tî Bêafrîka / République centrafricaine"
EGE00147727,30.08,31.29,"شارع مسجد الرقيب, ثاني المنتزه, أبو قير, الإسكندرية, 21912, مصر"
EGE00147733,29.93,32.5497,"شارع الحجر الصحى, السويس, 43522, مصر"
SF001750220,30.85,26.52,"الوادي الجديد, مصر"
WA009158370,20.95,15.97,"كاليت Kalait, Ennedi Ouest إنيدي الغربية, Tchad تشاد"
SF003717060,27.77,30.42,"مطروح, مصر"
SF001721630,30.72,25.1,"الوادي الجديد, مصر"
WA005705310,24.85,18.8,"Mellit, ولاية شمال دارفور, السودان"
WA011021610,18.68,17.1,"Borkou بوركو, Tchad تشاد"
SF000735550,32.75,24.32,"أسوان, مصر"
SF000950060,32.1,24.02,"الوادي الجديد, مصر"
WA003475270,27.78,18.3,"الولاية الشمالية, السودان"
SF000525710,33.02,24.33,"أسوان, مصر"
SF004345990,26.98,25.85,"الوادي الجديد, مصر"
WA006555030,23.88,18.28,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
MLM00061226,16.248,-0.005,"Makoua, Cuvette, Congo"
ZA000067403,-9.8,29.083,"G3-MV1, Tagant تكانت, caïdat de Bouizakarne قيادة بويزكارن, cercle de Bouizakarne دائرة بويزكارن, Province de Guelmim ⵜⴰⵙⴳⴰ ⵏ ⴳⵍⵎⵉⵎ إقليم كلميم, Guelmim-Oued Noun ⵜⴰⵙⴳⴰ-ⵡⴰⴷ ⵏⵓⵏ كلميم وادي نون, Maroc ⵍⵎⵖⵔⵉⴱ المغرب"
AGM00060445,36.178,5.324,"South Omo, የደቡብ ብሔር ብሔረሰቦችና ሕዝቦች ክልል / Southern Nations, Nationalities, and Peoples' Region, ኢትዮጵያ"
SF002013610,30.03,25.72,"الوادي الجديد, مصر"
WA007398130,22.55,16.97,"Ennedi Est إنيدي الشرقية, Tchad تشاد"
SF005481650,25.25,27.12,"الوادي الجديد, مصر"
TZ000063971,10.267,40.183,"Zone 5, አፋር ክልል / Afar, ኢትዮጵያ"
SF000508870,33.283,23.5,"أسوان, مصر"
SF003050370,28.62,32.03,"المنيا, مصر"
SF002821960,28.77,20.62,"الولاية الشمالية, السودان"
MLM00061230,15.233,-9.35,"Cuanza Norte, Angola"
SF001992750,30.08,24.67,"الوادي الجديد, مصر"
SF005946960,24.6,30.9,"البطنان, ليبيا"
WA006108840,24.23,17.5,"Mellit, ولاية شمال دارفور, السودان"
SF005086490,25.82,25.85,"الوادي الجديد, مصر"
SF004685000,26.33,24.28,"الوادي الجديد, مصر"
GHM00065401,10.9,-1.1,"Ngounié, Gabon"
WA003114490,28.48,18.25,"الولاية الشمالية, السودان"
AGM00060490,35.624,-0.621,"Tuiyobei A, Kiptagich ward, Kuresoi South, Nakuru, Rift Valley, Kenya"
SF000738710,32.52,24.5,"أسوان, مصر"
SF003377950,28.23,31.47,"المنيا, مصر"
TZ000063756,-2.467,32.917,"Maatarka معتركة, caïdat de Tendrara ⵜⴰⵇⴰⵢⴷⴰⵏⵜ ⵏ ⵜⵏⴷⵕⴰⵕⴰ قيادة تندرارة, Cercle de Figuig دائرة فكيك, Province de Figuig إقليم الناظور, Oriental ⵜⴰⵏⴳⵎⵓⴹⵜ الشرقية, Maroc ⵍⵎⵖⵔⵉⴱ المغرب"
AO000066270,11.417,15.117,"Gouré, Zinder, Niger"
SF000236290,33.98,19.85,"بورتسودان, البحر الأحمر, 79800, السودان"
MOM00060318,35.594,-5.32,"Mombose, Chemba, Dodoma, Central Zone, Tanzania"
SF002545890,29.33,22.83,"الوادي الجديد, مصر"
SF000670740,32.73,21.05,"أبو حمد, نهر النيل, السودان"
SF000220380,33.63,19.05,"أبو حمد, نهر النيل, السودان"
SF001638820,30.7,21.0,"الولاية الشمالية, السودان"
BY000064397,-2.833,30.333,"Igli ⵉⴳⵍⵉ إقلي, Daïra d'Igli, Béni Abbès, 08021, Algérie ⵍⵣⵣⴰⵢⴻⵔ الجزائر"
SF000464570,33.12,21.27,"أبو حمد, نهر النيل, السودان"
SF001148150,31.6,22.45,"أسوان, مصر"
SUM00062795,12.733,34.133,"أب نعام, الدندر, سنار, السودان"
SF002945000,28.83,26.78,"الوادي الجديد, مصر"
